gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,MonthlyCharges,Churn,Contract_One year,Contract_Two year
0,0,0,-1.3128745474320966,0,0,0,-1.3762278735972184,1,False,False
1,0,0,0.33103835840880097,1,0,0,-1.3762278735972184,0,True,False
0,0,1,0.7831144075150479,1,0,0,-1.5783988003368403,0,False,False
0,0,0,-1.3128745474320966,1,0,0,0.3422250036895663,1,True,False
1,0,0,1.3995817472053844,1,0,1,-0.5001538577255242,0,False,False
0,1,0,1.440679569851407,1,1,1,0.8139571660820171,1,False,False
0,0,1,-0.408722449219603,1,1,1,0.3759201581461699,0,False,False
1,0,1,1.6050708604354966,1,0,0,0.2074443858631518,0,False,False
1,0,0,1.522875215143452,1,1,1,1.2856893284744677,1,False,False
1,0,0,-1.3128745474320966,1,0,0,-1.5783988003368403,1,True,False
1,0,0,-1.3128745474320966,1,0,0,-1.5447036458802366,0,False,False
1,0,1,0.04335359988664389,1,0,0,0.6117862393423953,0,False,True
1,1,1,-0.20323333598949075,1,1,1,-0.5001538577255242,0,True,False
0,1,0,-0.6142115624497152,1,1,1,0.6454813937989989,1,False,False
0,0,0,-0.7375050303877825,1,0,1,-1.5447036458802366,0,False,False
0,1,0,-0.9018963209718723,1,1,1,0.9824329383650352,1,False,True
1,0,0,-0.9018963209718723,1,0,0,-0.3990683943557134,1,True,False
1,0,1,-1.3128745474320966,1,1,1,0.14005407694994457,1,False,True
0,0,1,0.16664706782471123,1,0,0,0.7802620116254134,0,False,False
1,0,1,-0.4498202718656254,1,0,1,0.7802620116254134,1,False,False
0,0,0,-1.3128745474320966,1,0,0,0.14005407694994457,0,False,False
0,0,1,-1.3128745474320966,1,0,0,-1.5783988003368403,0,True,False
1,0,1,0.5365274716389132,1,0,0,0.4770056215159808,0,False,False
0,0,0,0.7420165848690254,1,1,0,1.3867747918442785,0,False,True
0,0,0,0.33103835840880097,1,0,0,1.2856893284744677,0,False,False
0,0,0,-1.148483256848007,1,0,0,0.07266376803673733,1,False,False
0,0,0,0.49542964899289077,1,1,1,0.7802620116254134,1,False,False
1,0,1,-0.16213551334346832,1,0,0,-0.19689746761609167,0,False,False
0,1,0,-0.7375050303877825,1,1,0,0.8813474749952243,0,False,True
1,0,0,1.6050708604354966,0,0,0,-0.06211684978967717,0,False,False
1,0,0,0.700918762223003,1,1,1,1.2856893284744677,0,False,True
1,0,1,-0.24433115863551322,1,0,1,-1.511008491423633,0,False,False
1,0,0,1.6050708604354966,1,0,0,0.6454813937989989,0,True,False
0,0,1,0.7420165848690254,1,0,0,0.14005407694994457,0,False,False
0,0,0,1.1118969886832273,1,0,0,0.9487377839084316,0,False,False
1,0,0,-0.6553093850957377,1,1,1,-1.5783988003368403,0,False,True
0,0,0,1.6050708604354966,1,0,1,-1.511008491423633,0,False,False
0,0,0,0.0022557772406214464,1,0,1,1.2856893284744677,1,False,False
0,1,1,1.358483924559362,1,1,1,1.3193844829310715,0,False,False
0,0,1,1.4817773924974293,1,1,1,1.2856893284744677,1,False,False
1,0,0,-1.148483256848007,1,0,0,0.14005407694994457,1,True,False
0,0,0,0.9886035207451601,1,1,0,1.1846038651046569,0,False,True
0,1,0,-1.0251897889099397,1,0,0,0.3422250036895663,1,True,False
0,0,0,-0.7786028530338049,1,1,0,-0.5001538577255242,0,False,True
1,0,0,-0.3265268039275581,1,1,0,0.9824329383650352,1,False,False
0,0,1,0.7831144075150479,1,1,1,-1.5447036458802366,0,False,False
0,1,0,-1.066287611555962,1,0,0,0.3422250036895663,1,False,False
1,0,0,-0.8197006756798274,1,0,1,0.4770056215159808,1,False,False
0,1,0,-0.7375050303877825,1,1,0,0.8139571660820171,1,False,True
1,0,0,-0.4498202718656254,1,1,0,-0.3653732398991098,1,False,True
0,0,0,-0.5731137398036927,1,1,1,-1.5447036458802366,0,False,False
1,0,1,-0.408722449219603,0,0,1,-1.2077521013142003,0,False,False
0,0,0,1.6050708604354966,1,1,0,1.622640873040504,0,False,False
1,1,0,1.6050708604354966,1,1,1,1.083518401734846,0,False,False
0,0,1,1.070799166037205,1,0,0,1.0498232472782425,0,True,False
